entity_name,source_file,fiscal_year,fiscal_year_detected,data_vintage_flag,currency,fx_rate_to_zar,page_ref,file_selection_flag,inventory_zar_millions,inventory_millions,inventory,trade_receivables_zar_millions,trade_receivables_millions,trade_receivables,imports_exports,working_capital_notes,notes
Naspers,Naspers_FY2026_AFS.pdf,2025,2026,current,USD,16.3213,"Pages 31, 32, 33, 37-40, 68, 70, 72, 77-83, 94-102, 116, 132-145 of the Naspers FY2025 Annual Financial Statements.",,5239.1,321,"Net inventory was US$321 million at 31 March 2025 (US$355 million at 31 March 2024), per Note 35 Inventory (p.116), comprising gross inventory of US$340m less a US$19m allowance for slow-moving/obsolete inventory.",3933.4,241,"Current trade receivables (net of impairment allowance) were US$241 million at 31 March 2025, down from US$310 million at 31 March 2024, per the Consolidated Statement of Financial Position (p.31) and Note 30 (p.100), which shows gross trade receivables of US$274m less a US$33m allowance.",Not disclosed in this excerpt - a targeted search found no explicit import or export figures; Naspers is a consumer internet/ecommerce and services group and does not present a traditional goods import/export disclosure.,"Note 19 Cash from operations (p.72) shows a net positive working capital movement of US$6 million for FY2025 (vs a negative US$131 million in FY2024): cash movement in trade and other receivables +US$95m, cash movement in payables/accruals/share-based payment liability -US$84m, cash movement in inventories -US$5m.","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed as genuine FY2025 data (year ended 31 March 2025), audited by Deloitte & Touche and signed 21 June 2025, with FY2024 shown only as comparatives - no FY2026 figures appear here. Reports in USD despite being JSE-listed/SA-domiciled (functional currency ZAR); no single 'cost of sales' or 'operating expenses' line, discloses an aggregate 'Expenses by nature' note instead."
OUTsurance Group,ogl-annual-financial-statements-2025.pdf,2025,2025,current,ZAR,1.0,"44, 45, 58, 60, 189, 199, 201",,,,N/A - no inventory line item (sector: insurer),4.0,4,"R 4 million (Other receivables, Company-level - no separate Group-level trade receivables line found; insurer balance sheets typically don't break out 'trade receivables' at Group level)","Not explicitly disclosed as import/export trade figures. A EUR 10 million Forward Exchange Contract (FEC) was used to hedge the capital investment in OUTsurance Irish Insurance Holdings Limited, maturing November 2025.",'Changes in working capital' referenced generically in the cash flow reconciliation; no specific commentary or figures on movements disclosed.,All figures in R million unless stated. FY ended 30 June 2025. Trade receivables/payables sourced at Company level (not Group level) since no Group-level trade receivables/payables line was found in the excerpt for this insurer.
Pepkor Holdings,Pepkor annual financial statements 2025.pdf,2025,2025,current,ZAR,1.0,"21, 23, 29, 31, 41, 44, 65, 76, 79, 82, 83",,18618.0,18618,"R 18,618 million (FY2025)",14606.0,14606,"R 14,606 million (Trade and other receivables, current, FY2025)","Letters of credit, forex facilities and asset-based finance facilities totaling R 1,937 million disclosed (FY2025). Inventory accounting policy references costs including inbound freight and customs duties, implying material import activity, but no separate import/export value figure is given.",No explicit standalone working capital commentary/movement paragraph found; inventories accounting policy notes inbound freight and customs duties are capitalized into inventory cost.,All figures in R million unless stated. FY ended 30 September 2025.
Prosus,Prosus_FY2026_Annual Report 2026.pdf,2025,2026,current,USD,16.3213,"Pages 18-19, 132-134, 152-153, 158-161, 171-172, 179, 186-192 of the Prosus FY2025 Annual Report.",no AFS-labeled file found; used newest annual/integrated report,4161.9,255,"Net inventory (total) was US$255 million as at 31 March 2025, down from US$268 million a year earlier; gross inventory was US$264m (2025) less a US$9m allowance for slow-moving/obsolete stock (Note 34 p.179; balance sheet p.133).",3296.9,202,"Current trade receivables (net of a US$31m impairment allowance) were US$202 million as at 31 March 2025, down from US$278 million a year earlier; gross trade receivables were US$233m (2025) vs US$309m (2024) (Note 29 p.171; balance sheet p.133).",Not disclosed in this excerpt. No explicit import or export revenue/cost figures are presented.,"Note 18 'Cash from operations' shows working capital movements contributed a net +US$10m to operating cash flow in FY2025 (vs a drag of US$(106)m in FY2024): cash movement in trade/other receivables +US$102m, in payables/accruals US$(94)m, in inventories +US$2m. CFO review (p.20) notes free cash inflow improved to US$1,019m partly due to 'better working capital management in the Etail, and Payments and Fintech segments'.","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed as genuine FY2025 data (year ended 31 March 2025): report is titled for 'the year ended 31 March 2025', board-authorised 21 June 2025, with FY2024 shown only as the comparative. Prosus is a Dutch-incorporated multinational holding company (secondary-listed in SA via Naspers), so 'foreign revenue % vs SA' and import/export fields aren't meaningful/disclosed the way they would be for a domestic SA company."
Sanlam,Sanlam-AFS-2023.pdf,2025,2023,current,ZAR,1.0,"PDF pp. 24-25, 35, 39-40, 46, 51, 96, 114, 125, 164, 166.",Latest AFS-labeled file is 2023; FY2025 only available as Integrated Report / unclear 'FY24.pdf'.,,,N/A - insurer; no inventory line appears in the Group statement of financial position in this excerpt.,18629.0,18629,"Total trade and other receivables were R18,629 million as at 31 December 2025, up from R13,448 million at 31 December 2024, per the Group statement of financial position (note 16.1, PDF p.46; detail on p.96).","No import/export disclosures (Sanlam is a domestic/African financial services group, not a goods trader). Guarantee/facility disclosures instead: (1) Sanlam Limited guarantees Sanlam Financial Market's (SFM) unlisted commercial paper programme up to a R6.75 billion facility (of a total R20 billion programme limit), with R2.9 billion utilised at 31 December 2025 (p.35, note 33.2 p.114); (2) a R900 million credit facility (R600m revolving + R300m general banking) entered June 2024, five-year term, R654 million utilised; (3) Sanlam Life Insurance Limited's R6 billion unsecured note programme, guaranteed by Sanlam Limited (p.114); (4) a Stanbic Kenya revolving credit facility for Sanlam Kenya, backed by a Sanlam/SEM performance guarantee (~R720 million KES-denominated) (p.114).","'Net working capital' is defined in liquidity risk footnotes (pp.34-35) as trade and other receivables plus trade and other payables, taxation and cash and cash equivalents. On the balance sheet, 'Working capital assets' totalled R64,100 million (2025) vs R56,090 million (2024); 'Working capital liabilities' totalled R38,870 million (2025) vs R34,567 million (2024) (PDF p.46).","CORRECTED FY2025 (genuine AFS, fixes the FY2023 staleness issue). Confirmed via 'Sanlam Limited Annual Financial Statements 2025' title and 2025/2024 column headers (Insurance revenue R102,903m vs R93,475m). As an IFRS 17 insurer, no cost of sales/inventory lines exist; some FY2024 comparatives are labelled 'Restated' due to reclassifications (notes 1 and 40) - not to be confused with FY2023 figures."
Shaftesbury Capital plc,Shaftesbury Capital Annual Report 2025.pdf,2025,2025,current,GBP,21.9424,"165-171, 172, 183, 184-190, 192",no AFS-labeled file found; used newest annual/integrated report,,,"N/A - no inventory line item (sector: UK Real Estate Investment Trust; properties are classified as investment property or trading property under IAS 40/IAS 2, not disclosed as 'inventory' in the consolidated statement of financial position).",3403.3,155.1,"GBP 155.1 million total trade and other receivables (GBP 113.8m non-current + GBP 41.3m current), FY2025 (2024: GBP 170.1 million). Within this, net rent receivable (closest to 'trade receivables') was GBP 13.3 million (2025) vs GBP 9.9 million (2024), net of an ECL provision of GBP 4.9m (2025)/GBP 8.0m (2024). Gross rent receivable was GBP 18.2m (2025) vs GBP 17.9m (2024).","Not disclosed - not applicable. Shaftesbury is a UK-only property investment/management REIT with no goods trade, imports, exports, letters of credit, or trade finance facilities disclosed.","Cash flow note discloses working capital movements: Change in trade and other receivables +GBP 15.6m (2025) vs -GBP 4.6m (2024); Change in trade and other payables +GBP 8.5m (2025) vs -GBP 10.2m (2024), feeding into cash generated from operations of GBP 161.2m (2025) vs GBP 108.7m (2024).","Reports in GBP, not ZAR/USD. Excerpt is notes-only (starts partway through the document); the primary consolidated income statement and full accounting-policy revenue recognition disclosure were not captured, so revenue is sourced from the segmental note. No FX/currency-risk section exists in the excerpt, consistent with the UK-only business."
Shoprite Holdings,shp-afs-2025.pdf,2025,2025,current,ZAR,1.0,"11, 19, 24, 25, 33, 40, 47, 60, 61, 62",,29748.0,29748,"R 29,748 million (FY2025; 2024: R 28,366 million), all classified as current assets.",3506.0,3506,"R 3,506 million trade receivables from contracts with customers (FY2025; 2024: R 3,220 million), gross R 3,616m less impairment provision R 110m. Total 'trade and other receivables' (incl. instalment sale receivables, other receivables, lease receivables, prepayments) was R 6,291 million (2025) vs R 6,714 million (2024).","No explicit import/export dollar figures disclosed. The Group states 'the Group does not have significant foreign creditors as most inventory imports are prepaid.' Cost of merchandise includes customs duties as part of inventory cost. Franchisee/buying-aid trade facilities are secured by notarial and mortgage bonds and bank guarantees of R 3.0 billion (2024: R 1.2 billion) and R 928 million (2024: R 575 million) respectively (relates to franchise credit risk, not import/export trade finance). Company-level financial guarantees of R 25.3 billion (2024: R 24.2 billion) support subsidiaries' revolving credit facilities, unrelated to imports/exports.","Cash flow note 'Changes in working capital' for FY2025: Inventories R (2,957)m, Trade and other receivables R (579)m, Short-term supplier financing arrangements R (365)m, Trade and other payables R +1,529m, Contract liabilities R +60m, netting to R (2,312)m total working capital change (2024: +R 3,252m).","Reports in South African Rand (Rm), not USD. Figures are Group/consolidated (continuing operations unless noted). FY2025 comparatives were restated for operations (furniture business; Nigeria, Malawi, Ghana, Kenya, Uganda, Madagascar, DRC) reclassified as discontinued under IFRS 5, so continuing-operations totals in the FY2025 AFS differ from the originally reported FY2024 figures."
The Bidvest Group,Bidvest_FY2025_Company AFS.pdf,2025,2025,current,ZAR,1.0,"17, 18, 21, 23, 32",Bidvest FY2025 AFS available is Company-level only; Group FY2025 AFS not in folder (only Group FY2024 present).,,,"N/A - no inventory line item (sector: investment holding company; Company-level balance sheet holds only investments in subsidiaries/associates, loans, cash, and receivables - no inventory)",205.7,205.745571,"Trade and other receivables: R 205,745,571 (approx R205.7 million), FY2025 (2024: R34,545,824)","Not disclosed at Company level. Company has issued guarantees to external funders of The Bidvest Group (UK) PLC and to banking/other facilities utilised by subsidiaries and associates (contingent liabilities of R38,613,672,236 at 30 June 2025 relating to such guarantees), but no specific import/export trade-finance figures are given.","Not meaningfully disclosed at Company level; cash generated by operations reconciliation references 'decrease in trade and other receivables' and 'increase in trade and other payables' as adjusting items but this is holding-company intercompany activity, not operational working capital","IMPORTANT: This source PDF ('Bidvest_FY2025_Company AFS.pdf') is the Company-level (separate, not consolidated) financial statements of The Bidvest Group Limited, i.e. the holding company only. Figures such as 'revenue' (dividend income from subsidiaries), trade receivables/payables, and the balance sheet (dominated by 'Investments in subsidiaries' of ~R29.4 billion) will look far smaller and structurally different than the true consolidated Bidvest Group numbers. Do not compare these figures directly with other companies' consolidated results. Reports in South African Rand (R), FYE 30 June 2025."
Valterra Platinum,AFS.pdf,2025,,current,ZAR,1.0,"Pages 20, 24, 25, 26, 28, 29, 30, 31, 32, 41, 42, 50, 52, 61-63, 67 of AFS (1).pdf.",,32931.0,32931,"Total inventories were R32,931 million at 31 December 2025 (current R28,087m plus non-current R4,844m), vs R30,087 million in FY2024, per the balance sheet (p.25) and Note 18 (p.42). Current inventories: refined metals R6,681m, work-in-process R16,663m, ore stockpiles R671m, stores/materials R4,072m.",4095.0,4095,"Total current trade and other receivables were R4,095 million at 31 December 2025 (FY2024: R3,698 million), per the balance sheet (p.25) and Note 20 (p.41). Including R711 million non-current, total was R4,806 million; trade receivables specifically were R1,950 million.","No aggregate group-wide import or export figures. Only explicit reference: Unki Platinum Mine's (Zimbabwe) export proceeds - 30% must be converted into local currency; amounts receivable from the Reserve Bank of Zimbabwe/Ministry of Finance from this conversion totalled R1,904 million at 31 December 2025 (Note 20, p.41).","Cash flow reconciliation (Note 31, p.52) shows working capital changes of a net R2,761 million cash outflow in FY2025 (FY2024: R8,703 million inflow): increase in inventories R3,542m, increase in trade/other receivables R1,340m, increase in other assets R426m, decrease in trade/other payables R1,252m, increase in other liabilities R4,099m.","CORRECTED FY2025 (replaces a prior entry that used the FY2024 file). Statements authorised for issue 23 February 2026, all figures from the '2025' column with FY2024 shown only as comparative. Valterra Platinum demerged from Anglo American plc effective 31 May 2025, affecting comparability of related-party costs, borrowings and cash balances between FY2025 and FY2024."
Vodacom Group,Vodacom_FY2026_AFS.pdf,2025,2026,current,ZAR,1.0,"Pages 18, 20, 39, 40, 44, 45, 56, 58, 68, 69, 78, 79, 80, 82 of the Vodacom consolidated and separate financial statements for the year ended 31 March 2025.",,2287.0,2287,"Total inventory (Note 16, page 58) was R2,287 million at 31 March 2025 (2024: R2,321 million), after an inventory valuation allowance of R233 million; cost of inventories expensed during FY2025 was R18,470 million.",28536.0,28536,"Note 13 'Trade and other receivables' (page 56) discloses a specific 'Trade receivables' line of R17,674 million at 31 March 2025 (not separately split current/non-current). The broader 'Trade and other receivables' total was R28,536 million current and R4,747 million non-current per the balance sheet (page 20). Credit-risk-by-geography (Note 30.4.2.1, page 82) further splits FY2025 trade receivables as R12,085 million South Africa, R4,359 million Egypt, R1,210 million other international.","Not disclosed in this excerpt. No explicit rand-value import or export figures are presented; the Group discloses foreign exchange forward contracts used mainly to hedge purchases of capital equipment and inventory (implying imported capex/inventory), but no specific import/export values are given.","Cash flow reconciliation (Note 23.1, page 69) shows FY2025 working capital movements of: increase in inventory R24 million, increase in trade and other receivables R3,582 million, increase in mobile financial payables/trade and other payables/provisions R7,021 million. Cash flows from operations before working capital changes of R57,450 million rose to cash generated from operations of R60,865 million.","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed genuine FY2025 data, audited by Ernst & Young Inc. (report dated 6 June 2025). Some sub-lines ('Trade receivables'/'Trade payables' within the broader 'Trade and other receivables/payables' notes) are not separately split current/non-current, unlike their parent totals."
