entity_id,entity_name,sector,fiscal_year,data_vintage_flag,currency,top_down_reliability,internal_pillar1_zar_m,total_wallet_pillar1_zar_m,share_pct_pillar1,gap_zar_m_pillar1,pillar1_proxy_note,gap_flag_pillar1,internal_pillar2_zar_m,total_wallet_pillar2_zar_m,share_pct_pillar2,gap_zar_m_pillar2,gap_flag_pillar2,internal_pillar3_zar_m,total_wallet_pillar3_zar_m,share_pct_pillar3,gap_zar_m_pillar3,pillar3_estimated,gap_flag_pillar3,total_internal_zar_m,total_wallet_zar_m,blended_share_pct,total_gap_zar_m
E05,Gold Fields,mining,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",1732.4196487053782,202908.0,0.9,201175.6,revenue + cost_of_sales,,695.38575185,39902.3,1.7,39206.9,,899.75077816,,,,False,external estimate unavailable,3327.5561787153783,242810.3,1.4,239482.7
E14,Prosus,tech,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",1933.02558207,158577.7,1.2,156644.7,revenue + cost_of_sales,,32.37635875,12649.0,0.3,12616.6,,1973.31442853,,,,False,external estimate unavailable,3938.7163693499997,171226.7,2.3,167288.0
E11,Pepkor Holdings,consumer,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",34195.05221499,152728.0,22.4,118532.9,revenue + cost_of_sales,,1533.0774064500001,50114.0,3.1,48580.9,,6655.5201399200005,,,,False,external estimate unavailable,42383.64976136,202842.0,20.9,160458.4
E08,Sanlam,insurance,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",19247.48040464,102903.0,18.7,83655.5,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,152.3362224,55520.0,0.3,55367.7,,2664.89026389,1996.3182000000002,133.5,-668.6,True,internal flow exceeds top-down proxy - see notes,22064.70689093,160419.3182,13.8,138354.6
E12,Clicks Group,consumer,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",197.71452005,87855.4,0.2,87657.7,revenue + cost_of_sales,,63.86754263,21870.7,0.3,21806.8,,1005.4967895599999,,,,False,external estimate unavailable,1267.0788522399998,109726.09999999999,1.2,108459.0
E19,Aspen Pharmacare,industrials_pharma,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",3552.11583072,67597.0,5.3,64044.9,revenue + cost_of_sales,,532.42271656,39330.0,1.4,38797.6,,1412.9869903499998,,,,False,external estimate unavailable,5497.525537629999,106927.0,5.1,101429.5
E07,OUTsurance Group,insurance,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",342.92299492,37131.0,0.9,36788.1,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,78.60746490000001,16.0,491.3,-62.6,internal flow exceeds top-down proxy - see notes,1136.81677621,,,,False,external estimate unavailable,1558.34723603,37147.0,4.2,35588.7
E13,NEPI Rockcastle,real_estate,2025,current,EUR,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",48.3682873,11738.6,0.4,11690.2,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,3.90435682,5505.5,0.1,5501.6,,304.22551669,,,,False,external estimate unavailable,356.49816081,17244.1,2.1,16887.6
E20,Shaftesbury Capital plc,real_estate,2025,current,GBP,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",12.046811589999999,4746.1,0.3,4734.1,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,8.34076167,5555.8,0.2,5547.5,,111.37915066,,,,False,external estimate unavailable,131.76672392,10301.900000000001,1.3,10170.1
E18,The Bidvest Group,industrials_pharma,2025,current,ZAR,insufficient - Group revenue not disclosed in source AFS; blended total not computed,4730.573885430001,,,,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),external estimate unavailable,1464.0307855199999,219.79999999999998,666.1,-1244.2,internal flow exceeds top-down proxy - see notes,1614.25787359,,,,False,external estimate unavailable,7808.86254454,,,
