entity_name,source_file,fiscal_year,fiscal_year_detected,data_vintage_flag,currency,fx_rate_to_zar,page_ref,file_selection_flag,revenue_zar_millions,revenue_millions,revenue,cost_of_sales_zar_millions,cost_of_sales_millions,cost_of_sales,operating_expenses,trade_receivables_zar_millions,trade_receivables_millions,trade_receivables,trade_payables_zar_millions,trade_payables_millions,trade_payables,notes
Naspers,Naspers_FY2026_AFS.pdf,2025,2026,current,USD,16.3213,"Pages 31, 32, 33, 37-40, 68, 70, 72, 77-83, 94-102, 116, 132-145 of the Naspers FY2025 Annual Financial Statements.",,117203.3,7181,"Naspers reported total group revenue from continuing operations of US$7,181 million for FY2025 (year ended 31 March 2025), up from US$6,431 million in FY2024, per the Consolidated Income Statement (p.32) and Note 14 Revenue (p.68). This excludes discontinued operations (OLX Autos) revenue of US$264m (2025) / US$750m (2024), disclosed separately in Note 5 (p.43).",70002.1,4289,"No single 'cost of sales' line; the closest equivalent on the Consolidated Income Statement (p.32) is 'Cost of providing services and sale of goods' of US$4,289 million for FY2025 (US$3,966 million FY2024). Within Note 15 Expenses by nature (p.70), the largest sub-component is 'Platform cost of sales, website hosting and warehousing cost' of US$2,539 million FY2025, plus payment facilitation transaction costs of US$1,038m and delivery services costs of US$383m.","Note 15 'Expenses by nature' (p.70) discloses total expenses (cost of providing services/sale of goods plus SG&A) of US$7,062 million for FY2025 (US$6,613 million FY2024), reconciling to US$4,289m + US$2,773m SG&A = US$7,062m.",3933.4,241,"Current trade receivables (net of impairment allowance) were US$241 million at 31 March 2025, down from US$310 million at 31 March 2024, per the Consolidated Statement of Financial Position (p.31) and Note 30 (p.100), which shows gross trade receivables of US$274m less a US$33m allowance.",5957.3,365,"Current trade payables were US$365 million at 31 March 2025, down from US$427 million at 31 March 2024, per the Consolidated Statement of Financial Position (p.31).","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed as genuine FY2025 data (year ended 31 March 2025), audited by Deloitte & Touche and signed 21 June 2025, with FY2024 shown only as comparatives - no FY2026 figures appear here. Reports in USD despite being JSE-listed/SA-domiciled (functional currency ZAR); no single 'cost of sales' or 'operating expenses' line, discloses an aggregate 'Expenses by nature' note instead."
OUTsurance Group,ogl-annual-financial-statements-2025.pdf,2025,2025,current,ZAR,1.0,"44, 45, 58, 60, 189, 199, 201",,37131.0,37131,"R 37,131 million (Insurance revenue, FY2025 - OUTsurance is an insurer, this is net insurance revenue not a plain 'revenue' line)",,,"N/A - insurer, no cost of sales line","R 11,673 million (Total operating expenses including directly attributable and non-attributable expenses, FY2025)",4.0,4,"R 4 million (Other receivables, Company-level - no separate Group-level trade receivables line found; insurer balance sheets typically don't break out 'trade receivables' at Group level)",12.0,12,"R 12 million (Trade and other payables, Company-level)",All figures in R million unless stated. FY ended 30 June 2025. Trade receivables/payables sourced at Company level (not Group level) since no Group-level trade receivables/payables line was found in the excerpt for this insurer.
Pepkor Holdings,Pepkor annual financial statements 2025.pdf,2025,2025,current,ZAR,1.0,"21, 23, 29, 31, 41, 44, 65, 76, 79, 82, 83",,95340.0,95340,"R 95,340 million (Revenue, FY2025)",57388.0,57388,"R (57,388) million (FY2025)","R (18,814) million (FY2025)",14606.0,14606,"R 14,606 million (Trade and other receivables, current, FY2025)",16890.0,16890,"R 16,890 million (FY2025)",All figures in R million unless stated. FY ended 30 September 2025.
Prosus,Prosus_FY2026_Annual Report 2026.pdf,2025,2026,current,USD,16.3213,"Pages 18-19, 132-134, 152-153, 158-161, 171-172, 179, 186-192 of the Prosus FY2025 Annual Report.",no AFS-labeled file found; used newest annual/integrated report,100702.4,6170,"Prosus' total group revenue for the year ended 31 March 2025 was US$6,170 million, up from US$5,467 million in FY2024, driven primarily by Classifieds, Food Delivery, and to a lesser extent Payments and Fintech and Etail (CFO review p.18; income statement p.134; Note 13 pp.152-153).",57875.3,3546,"'Cost of providing services and sale of goods (COPS)' was US$3,546 million for FY2025, up from US$3,245 million in FY2024 (CFO review p.19; income statement p.134; Note 14 p.154).","'Selling, general and administration expenses (SG&A)' was US$2,463 million for FY2025, up from US$2,388 million in FY2024 (CFO review p.19; income statement p.134).",3296.9,202,"Current trade receivables (net of a US$31m impairment allowance) were US$202 million as at 31 March 2025, down from US$278 million a year earlier; gross trade receivables were US$233m (2025) vs US$309m (2024) (Note 29 p.171; balance sheet p.133).",5190.2,318,"Current trade payables were US$318 million as at 31 March 2025, down from US$365 million a year earlier (balance sheet p.133; Note 40.3 p.190).","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed as genuine FY2025 data (year ended 31 March 2025): report is titled for 'the year ended 31 March 2025', board-authorised 21 June 2025, with FY2024 shown only as the comparative. Prosus is a Dutch-incorporated multinational holding company (secondary-listed in SA via Naspers), so 'foreign revenue % vs SA' and import/export fields aren't meaningful/disclosed the way they would be for a domestic SA company."
Sanlam,Sanlam-AFS-2023.pdf,2025,2023,current,ZAR,1.0,"PDF pp. 24-25, 35, 39-40, 46, 51, 96, 114, 125, 164, 166.",Latest AFS-labeled file is 2023; FY2025 only available as Integrated Report / unclear 'FY24.pdf'.,102903.0,102903,"Insurance revenue (the IFRS 17 primary top-line P&L line) was R102,903 million for FY2025, up from R93,475 million in FY2024, per the Group statement of comprehensive income for the year ended 31 December (PDF p.46). No consolidated group-level gross written premium (GWP) figure is disclosed in this excerpt; GWP is only disclosed for specific JV components: SanlamAllianz general insurance/reinsurance JV (100%) GWP of R33,008 million (2025), and Shriram General Insurance (100%) GWP of R8,634 million (2025) (supplementary info, pp.164, 166). A separate 'Revenue' line of R25,749 million (2025), representing fee-based revenue from contracts with customers, also appears under 'Result from other operations' (PDF p.46).",,,"N/A - insurer, no cost of sales line is presented in Sanlam's IFRS 17 statement of comprehensive income for FY2025. Note 40 (Restatement, p.125) discloses that FY2024 comparatives reclassified a historical 'cost of sales' amount (pharmaceutical operations) out of Revenue and into 'administration and other costs'; no separate cost-of-sales line exists in FY2025 either.","Insurance service expenses (closest IFRS 17 equivalent) were R(81,322) million for FY2025 vs R(75,553) million for FY2024 (PDF p.46). Separately, 'Administration and other costs' (non-insurance operating costs) were R(23,908) million for FY2025 vs R(23,249) million for FY2024 (same statement).",18629.0,18629,"Total trade and other receivables were R18,629 million as at 31 December 2025, up from R13,448 million at 31 December 2024, per the Group statement of financial position (note 16.1, PDF p.46; detail on p.96).",36891.0,36891,"Total trade and other payables were R36,891 million as at 31 December 2025, up from R31,112 million at 31 December 2024, per the Group statement of financial position (note 16.2, PDF p.46; detail on p.96).","CORRECTED FY2025 (genuine AFS, fixes the FY2023 staleness issue). Confirmed via 'Sanlam Limited Annual Financial Statements 2025' title and 2025/2024 column headers (Insurance revenue R102,903m vs R93,475m). As an IFRS 17 insurer, no cost of sales/inventory lines exist; some FY2024 comparatives are labelled 'Restated' due to reclassifications (notes 1 and 40) - not to be confused with FY2023 figures."
Shaftesbury Capital plc,Shaftesbury Capital Annual Report 2025.pdf,2025,2025,current,GBP,21.9424,"165-171, 172, 183, 184-190, 192",no AFS-labeled file found; used newest annual/integrated report,4746.1,216.3,"GBP 216.3 million (FY2025, net rental/property income per segmental note; 2024: GBP 205.0 million). Excludes service charge income/expenses of GBP 22.6m. No separate consolidated income statement was in the excerpt (it began at the notes), so this is the Group's segmental 'Revenue' line, the closest disclosed revenue equivalent for a REIT.",,,"N/A - Shaftesbury is a UK REIT (investment/trading property), no cost of sales / COGS line exists under its income statement format.","GBP 38.6 million (FY2025 property/segmental 'Costs' line, closest equivalent to property operating expenses; 2024: GBP 37.9 million). Note: a separate 'Administration expenses' note is referenced multiple times but its full total was not included in the excerpt.",3403.3,155.1,"GBP 155.1 million total trade and other receivables (GBP 113.8m non-current + GBP 41.3m current), FY2025 (2024: GBP 170.1 million). Within this, net rent receivable (closest to 'trade receivables') was GBP 13.3 million (2025) vs GBP 9.9 million (2024), net of an ECL provision of GBP 4.9m (2025)/GBP 8.0m (2024). Gross rent receivable was GBP 18.2m (2025) vs GBP 17.9m (2024).",2152.5,98.1,"GBP 98.1 million total trade and other payables, all current, FY2025 (2024: GBP 84.8 million). Comprised of rent in advance GBP 27.6m, accruals GBP 37.2m, other payables GBP 24.0m, other taxes/social security GBP 9.3m.","Reports in GBP, not ZAR/USD. Excerpt is notes-only (starts partway through the document); the primary consolidated income statement and full accounting-policy revenue recognition disclosure were not captured, so revenue is sourced from the segmental note. No FX/currency-risk section exists in the excerpt, consistent with the UK-only business."
Shoprite Holdings,shp-afs-2025.pdf,2025,2025,current,ZAR,1.0,"11, 19, 24, 25, 33, 40, 47, 60, 61, 62",,256682.0,256682,"R 256,682 million total revenue for FY2025 (52 weeks ended 29 June 2025), restated 2024: R 236,328 million. Comprised of Sale of merchandise R 252,701m + Alternative revenue (other operating income) R 3,763m + Interest revenue R 218m. Currency: South African Rand (Rm).",191259.0,191259,"R (191,259) million (FY2025; 2024 restated: R (176,549) million), yielding gross profit of R 61,442 million.","Other operating expenses R (22,366) million (FY2025; 2024: R (21,916) million). Also disclosed separately: Employee benefits R (20,268)m (2024: R (18,289)m) and Depreciation and amortisation R (8,012)m (2024: R (6,845)m), all deducted in arriving at Trading profit of R 14,951m.",3506.0,3506,"R 3,506 million trade receivables from contracts with customers (FY2025; 2024: R 3,220 million), gross R 3,616m less impairment provision R 110m. Total 'trade and other receivables' (incl. instalment sale receivables, other receivables, lease receivables, prepayments) was R 6,291 million (2025) vs R 6,714 million (2024).",24474.0,24474,"R 24,474 million trade payables (FY2025; 2024: R 22,949 million). Total 'trade and other payables' (incl. other payables/accruals, deposits, employee benefit accruals, indirect taxes, refund liability) was R 34,160 million (2025) vs R 32,544 million (2024).","Reports in South African Rand (Rm), not USD. Figures are Group/consolidated (continuing operations unless noted). FY2025 comparatives were restated for operations (furniture business; Nigeria, Malawi, Ghana, Kenya, Uganda, Madagascar, DRC) reclassified as discontinued under IFRS 5, so continuing-operations totals in the FY2025 AFS differ from the originally reported FY2024 figures."
The Bidvest Group,Bidvest_FY2025_Company AFS.pdf,2025,2025,current,ZAR,1.0,"17, 18, 21, 23, 32",Bidvest FY2025 AFS available is Company-level only; Group FY2025 AFS not in folder (only Group FY2024 present).,,,"N/A as 'revenue' in the trading sense - Company statement of comprehensive income shows only 'Dividend revenue' of R 3,544,337,438 (approx R3,544.3 million) for FY2025 (2024: R2,447,098,981), almost entirely dividends from subsidiaries/associates, not trading revenue",,,Not disclosed / not applicable - Company-level statements (holding company) have no cost-of-sales line,"Administration expenses of R893 only (2024: R1,804) - trivial holding-company overhead; not comparable to a Group opex figure",205.7,205.745571,"Trade and other receivables: R 205,745,571 (approx R205.7 million), FY2025 (2024: R34,545,824)",14.1,14.12806,"Trade and other payables: R 14,128,060 (approx R14.1 million), FY2025 (2024: R14,007,936)","IMPORTANT: This source PDF ('Bidvest_FY2025_Company AFS.pdf') is the Company-level (separate, not consolidated) financial statements of The Bidvest Group Limited, i.e. the holding company only. Figures such as 'revenue' (dividend income from subsidiaries), trade receivables/payables, and the balance sheet (dominated by 'Investments in subsidiaries' of ~R29.4 billion) will look far smaller and structurally different than the true consolidated Bidvest Group numbers. Do not compare these figures directly with other companies' consolidated results. Reports in South African Rand (R), FYE 30 June 2025."
Valterra Platinum,AFS.pdf,2025,,current,ZAR,1.0,"Pages 20, 24, 25, 26, 28, 29, 30, 31, 32, 41, 42, 50, 52, 61-63, 67 of AFS (1).pdf.",,116330.0,116330,"Gross revenue for FY2025 was R116,398 million (FY2024: R109,007 million), per the Consolidated Statement of Comprehensive Income (p.24) and Note 1 (p.28). After commissions paid of R68 million, net revenue was R116,330 million (FY2024: R108,987 million). Gross revenue comprises revenue from contracts with customers of R115,239 million (precious metals R100,296m, base metals R8,861m, other metals R3,715m, toll refining R2,367m) plus revenue from other sources (trading) of R1,159 million.",87772.0,87772,"Cost of sales was R87,772 million for FY2025 (FY2024: R90,769 million), per the income statement (p.24) and Note 3 (p.31). Components: on-mine (mining and concentrating) costs R33,117m, smelting costs R6,789m, treatment and refining costs R6,193m, purchase of metals in concentrate/secondary/refined form R30,031m, depreciation R8,198m, a R3,607m reduction from an increase in metal inventories, a R644m reduction from a decrease in ore stockpiles, other costs excluded from inventory R6,407m, corporate-related costs R2,029m, operational-related costs R2,592m, royalties and carbon tax R1,786m.","No single 'operating expenses' line; gross profit of R28,558 million flows into separately disclosed items (p.24): other income R2,735m, finance income R632m, fair value measurement losses R23m, share of loss from equity-accounted entities R540m, provision for expected credit losses R581m, finance costs R1,209m, market development and promotional expenditure R1,230m, scrapping of capital WIP/PP&E R1,904m, and other expenditure R4,148m (Note 4, p.32), arriving at profit before tax of R22,290 million.",4095.0,4095,"Total current trade and other receivables were R4,095 million at 31 December 2025 (FY2024: R3,698 million), per the balance sheet (p.25) and Note 20 (p.41). Including R711 million non-current, total was R4,806 million; trade receivables specifically were R1,950 million.",21923.0,21923,"Total current trade and other payables were R21,923 million at 31 December 2025 (FY2024: R23,438 million), per the balance sheet (p.25) and Note 27 (p.50). Trade payables specifically were R15,496 million, comprising a purchase-of-concentrate liability of R10,627m and other trade payables of R4,869m.","CORRECTED FY2025 (replaces a prior entry that used the FY2024 file). Statements authorised for issue 23 February 2026, all figures from the '2025' column with FY2024 shown only as comparative. Valterra Platinum demerged from Anglo American plc effective 31 May 2025, affecting comparability of related-party costs, borrowings and cash balances between FY2025 and FY2024."
Vodacom Group,Vodacom_FY2026_AFS.pdf,2025,2026,current,ZAR,1.0,"Pages 18, 20, 39, 40, 44, 45, 56, 58, 68, 69, 78, 79, 80, 82 of the Vodacom consolidated and separate financial statements for the year ended 31 March 2025.",,152227.0,152227,"Vodacom Group's total revenue for FY2025 (year ended 31 March 2025) was R152,227 million, up from R150,594 million in FY2024, per the consolidated income statement (page 18).",,,"Not a single disclosed line - as a telco, Vodacom does not present a 'cost of sales' figure. Instead the consolidated income statement (page 18) breaks FY2025 costs into: Direct expenses R59,340 million, Staff expenses R10,435 million, Publicity expenses R1,914 million, Net credit losses on financial assets R2,096 million, Other operating expenses R23,407 million, Depreciation and amortisation R21,934 million, and Impairment losses R34 million.","No single aggregate 'Total expenses' line is presented. Summing all disclosed FY2025 expense lines (page 18) gives R119,160 million including D&A (R21,934 million); excluding D&A and impairment, the aggregate operating cost base is R97,192 million. Group EBITDA for FY2025 was R55,511 million (segment note, pages 39-40).",28536.0,28536,"Note 13 'Trade and other receivables' (page 56) discloses a specific 'Trade receivables' line of R17,674 million at 31 March 2025 (not separately split current/non-current). The broader 'Trade and other receivables' total was R28,536 million current and R4,747 million non-current per the balance sheet (page 20). Credit-risk-by-geography (Note 30.4.2.1, page 82) further splits FY2025 trade receivables as R12,085 million South Africa, R4,359 million Egypt, R1,210 million other international.",44057.0,44057,"Note 20 'Trade and other payables' (page 68) discloses a specific 'Trade payables' line of R20,828 million at 31 March 2025. The broader 'Trade and other payables' total was R44,057 million current and R386 million non-current per the balance sheet (page 20).","CORRECTED FY2025 (replaces a prior entry that used the FY2026 file). Confirmed genuine FY2025 data, audited by Ernst & Young Inc. (report dated 6 June 2025). Some sub-lines ('Trade receivables'/'Trade payables' within the broader 'Trade and other receivables/payables' notes) are not separately split current/non-current, unlike their parent totals."
