entity_name,canonical,fiscal_year,currency,top_down_reliability,partial_window,revenue_zar_m,cost_of_sales_zar_m,operating_expenses_zar_m,trade_receivables_zar_m,trade_payables_zar_m,inventory_zar_m,foreign_revenue_pct,fx_gains_losses_zar_m,internal_pillar1_zar_m,total_wallet_pillar1_zar_m,share_pct_pillar1,gap_zar_m_pillar1,pillar1_proxy_note,internal_pillar2_zar_m,total_wallet_pillar2_zar_m,share_pct_pillar2,gap_zar_m_pillar2,internal_pillar3_zar_m,total_wallet_pillar3_zar_m,share_pct_pillar3,gap_zar_m_pillar3,pillar3_estimated,zero_wallet_flag_pillar3
Clicks Group,clicks,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,48609.8,34805.2,,3057.3,10030.9,7063.3,,-2.1,188.66564538999998,83415.0,0.23,83226.3,revenue + cost_of_sales,89.9825021,20151.5,0.45,20061.5,941.8301718600001,,,,False,False
Clicks Group,clicks,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,51427.0,36428.4,,3139.5,10912.5,7818.7,,-2.0,202.53590802000002,87855.4,0.23,87652.9,revenue + cost_of_sales,76.27437157,21870.7,0.35,21794.4,1034.94993079,,,,False,False
Glencore,glencore,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,3769306.3,,,290209.0,472795.4,491222.2,,-7263.0,3942.974120832519,3769306.3,0.1,3765363.3,revenue only - no disclosed cost_of_sales line for this sector/year,1162.9323409099998,1254226.6,0.09,1253063.7,2297.1231943400003,,,,False,False
Glencore,glencore,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,4040093.0,,,388871.3,581266.8,554189.7,,-1485.2,4292.625043112292,4040093.0,0.11,4035800.4,revenue only - no disclosed cost_of_sales line for this sector/year,1029.59587309,1524327.8,0.07,1523298.2,2410.0438428499997,,,,False,False
Gold Fields,gold fields,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,84896.9,46412.9,,5513.3,10626.8,17122.7,87.57,-107.7,1559.1496318945988,131309.8,1.19,129750.7,revenue + cost_of_sales,537.17067579,33262.8,1.61,32725.6,856.82142148,74344.21532999999,1.15,73487.4,True,False
Gold Fields,gold fields,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,142832.6,60075.4,,6213.5,14821.4,18867.4,,107.7,1578.2433799498144,202908.0,0.78,201329.8,revenue + cost_of_sales,526.3306503700001,39902.3,1.32,39376.0,963.88534337,,,,False,False
MTN Group,mtn,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,188001.0,,,34304.0,57942.0,1213.0,72.02,-18879.0,10478.244626349999,188001.0,5.57,177522.8,revenue only - no disclosed cost_of_sales line for this sector/year,1270.0066263499998,93459.0,1.36,92189.0,6288.8290296000005,135398.3202,4.64,129109.5,True,False
MTN Group,mtn,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,226707.0,,,,,,79.2,,10356.401316559999,226707.0,4.57,216350.6,revenue only - no disclosed cost_of_sales line for this sector/year,1535.8404392300001,,,,6434.127410610001,179551.94400000002,3.58,173117.8,True,False
NEPI Rockcastle,nepi,2024,EUR,"low - foreign reporting currency, group figures may include material non-SA operations",False,16044.4,,,2180.0,3517.4,79.5,,-3.0,34.94909679,16044.4,0.22,16009.5,revenue only - no disclosed cost_of_sales line for this sector/year,2.65907552,5776.9,0.05,5774.2,190.48308064,,,,False,False
NEPI Rockcastle,nepi,2025,EUR,"low - foreign reporting currency, group figures may include material non-SA operations",False,17497.8,,,2134.6,3370.9,0.0,,-8.4,44.10121983,17497.8,0.25,17453.7,revenue only - no disclosed cost_of_sales line for this sector/year,3.7966996,5505.5,0.07,5501.7,286.84091106000005,,,,False,False
Naspers,naspe,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",True,104962.3,64730.3,,5059.6,6969.2,5794.1,,-26832.2,1037.3956832200001,169692.6,0.61,168655.2,revenue + cost_of_sales,32.95354798,17822.9,0.18,17789.9,1448.61862875,,,,False,False
Naspers,naspe,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,117203.3,70002.1,,3933.4,5957.3,5239.1,85.06,587.6,1340.8781439000002,187205.40000000002,0.72,185864.5,revenue + cost_of_sales,33.580074659999994,15129.8,0.22,15096.2,1910.78074569,99693.12698,1.92,97782.3,True,False
Naspers,naspe,2026,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,177053.5,98368.5,,9923.4,19095.9,5663.5,88.88,-6740.7,1464.2570694500002,275422.0,0.53,273957.7,revenue + cost_of_sales,59.39057593,34682.8,0.17,34623.4,2205.8605737800003,157365.15079999997,1.4,155159.3,True,False
OUTsurance Group,out,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,31913.0,,,,,,58.9,-5.0,241.50373316999998,31913.0,0.76,31671.5,revenue only - no disclosed cost_of_sales line for this sector/year,39.60408865,,,,414.14180509,18796.756999999998,2.2,18382.6,True,False
OUTsurance Group,out,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,37131.0,,,,,,,21.0,282.53771406,37131.0,0.76,36848.5,revenue only - no disclosed cost_of_sales line for this sector/year,84.1259056,,,,828.99861528,,,,False,False
Pepkor Holdings,pepkor,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,85136.0,52527.0,,10987.0,16771.0,17509.0,15.26,-643.0,34487.22650994999,137663.0,25.05,103175.8,revenue + cost_of_sales,1453.23618572,45267.0,3.21,43813.8,6368.77082474,12991.753599999998,49.02,6623.0,True,False
Pepkor Holdings,pepkor,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,95340.0,57388.0,,14606.0,16890.0,18618.0,,-504.0,34269.22960628001,152728.0,22.44,118458.8,revenue + cost_of_sales,1579.2278973599998,50114.0,3.15,48534.8,6820.26848308,,,,False,False
Prosus,prosus,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",True,89228.5,52962.6,,4537.3,5957.3,4374.1,,-473.3,1498.26024426,142191.1,1.05,140692.8,revenue + cost_of_sales,51.62953554,14868.7,0.35,14817.1,1511.0835997899999,,,,False,False
Prosus,prosus,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,100702.4,57875.3,,3296.9,5190.2,4161.9,,,1946.2529942,158577.7,1.23,156631.4,revenue + cost_of_sales,14.581795870000004,12649.0,0.12,12634.4,1946.9620291600002,,,,False,False
Prosus,prosus,2026,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,158398.2,84838.1,,9303.1,18100.3,4423.1,,45650.7,1919.0626313399998,243236.30000000002,0.79,241317.2,revenue + cost_of_sales,34.63811788,31826.5,0.11,31791.9,2081.82307367,,,,False,False
Sanlam,sanlam,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,93475.0,,,15548.0,30329.0,,1.41,189.0,27156.50587813,93475.0,29.05,66318.5,revenue only - no disclosed cost_of_sales line for this sector/year,200.31805763,45877.0,0.44,45676.7,2772.54588378,1317.9975,210.36,-1454.5,True,False
Sanlam,sanlam,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,102903.0,,,18629.0,36891.0,,1.94,-4275.0,22158.038717400002,102903.0,21.53,80745.0,revenue only - no disclosed cost_of_sales line for this sector/year,174.71380485,55520.0,0.31,55345.3,2739.54210431,1996.3182000000002,137.23,-743.2,True,False
Shaftesbury Capital plc,shaftesbury,2024,GBP,"low - foreign reporting currency, group figures may include material non-SA operations",False,4983.1,,,667.0,1860.7,,0.0,,11.92183866,4983.1,0.24,4971.2,revenue only - no disclosed cost_of_sales line for this sector/year,6.22743937,2527.7,0.25,2521.5,107.64844779,0.0,,-107.6,True,True
Shaftesbury Capital plc,shaftesbury,2025,GBP,"low - foreign reporting currency, group figures may include material non-SA operations",False,5242.0,,,906.2,2152.5,,0.0,,12.051344960000002,5242.0,0.23,5229.9,revenue only - no disclosed cost_of_sales line for this sector/year,5.71785223,3058.7,0.19,3053.0,129.52158545,0.0,,-129.5,True,True
Shoprite Holdings,shoprite,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,246082.0,182968.0,,6298.0,32458.0,28366.0,10.33,-14.0,10375.517593319999,429050.0,2.42,418674.5,revenue + cost_of_sales,1233.2941661,67122.0,1.84,65888.7,3306.00031106,25420.2706,13.01,22114.3,True,False
Shoprite Holdings,shoprite,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,267518.0,198351.0,,5706.0,34084.0,29748.0,,,10275.161827639999,465869.0,2.21,455593.8,revenue + cost_of_sales,1473.37276128,69538.0,2.12,68064.6,3465.6155645600006,,,,False,False
The Bidvest Group,bidvest group,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,122616.0,87739.5,,19168.1,22958.6,14894.4,25.82,,4261.9913212,210355.5,2.03,206093.5,revenue + cost_of_sales,1159.72839819,57021.1,2.03,55861.4,1703.52051374,31659.4512,5.38,29955.9,True,False
The Bidvest Group,bidvest group,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,126605.4,91540.5,,20127.6,22554.6,14835.9,27.88,,4361.98701703,218145.9,2.0,213783.9,revenue + cost_of_sales,1149.15873705,57518.1,2.0,56368.9,1663.0026416300002,35297.58552,4.71,33634.6,True,False
Valterra Platinum,valterra,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,109007.0,90769.0,,3698.0,23438.0,30087.0,94.34,-539.0,38.332581793437335,199776.0,0.02,199737.7,revenue + cost_of_sales,131.31523645000001,57223.0,0.23,57091.7,163.43927628999998,102837.2038,0.16,102673.8,True,False
Valterra Platinum,valterra,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,116398.0,87772.0,,4095.0,21923.0,32931.0,,-748.0,51.68827635571579,204170.0,0.03,204118.3,revenue + cost_of_sales,125.22759479999999,58949.0,0.21,58823.8,205.79710897,,,,False,False
Vodacom Group,vodacom,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",True,150594.0,,94669.0,28154.0,42585.0,2321.0,41.4,-1599.0,179.75773182999998,150594.0,0.12,150414.2,revenue only - no disclosed cost_of_sales line for this sector/year,117.23555162999999,73060.0,0.16,72942.8,2260.4580974200003,62345.916,3.63,60085.5,True,False
Vodacom Group,vodacom,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,152227.0,,,28536.0,44057.0,2287.0,40.65,-459.0,243.99934058000002,152227.0,0.16,151983.0,revenue only - no disclosed cost_of_sales line for this sector/year,186.2270569,74880.0,0.25,74693.8,2972.6461261000004,61880.275499999996,4.8,58907.6,True,False
Vodacom Group,vodacom,2026,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,167652.0,,103517.0,29986.0,46181.0,2112.0,45.5,-167.0,249.80255987,167652.0,0.15,167402.2,revenue only - no disclosed cost_of_sales line for this sector/year,157.09589891000002,78279.0,0.2,78121.9,3086.8281685399998,76281.66,4.05,73194.8,True,False
