client,type,stated_value,verified,match_scope
Valterra Platinum,rand_zar_m,59000.0,True,client
Gold Fields,percent,0.9,True,client
Gold Fields,percent,1.7,True,client
Gold Fields,percent,1.4,True,client
Gold Fields,rand_zar_m,201200.0,True,client
Gold Fields,rand_zar_m,202900.0,True,client
Gold Fields,rand_zar_m,39200.0,True,client
Gold Fields,rand_zar_m,39900.0,True,client
Gold Fields,rand_zar_m,239500.0,True,client
Prosus,percent,1.2,True,client
Prosus,percent,0.3,True,client
Prosus,percent,2.3,True,client
Prosus,rand_zar_m,156600.0,True,client
Prosus,rand_zar_m,158600.0,True,client
Prosus,rand_zar_m,12600.0,True,client
Prosus,rand_zar_m,12600.0,True,client
Prosus,rand_zar_m,167300.0,True,client
Pepkor Holdings,percent,22.4,True,client
Pepkor Holdings,percent,3.1,True,client
Pepkor Holdings,percent,20.9,True,client
Pepkor Holdings,rand_zar_m,118500.0,True,client
Pepkor Holdings,rand_zar_m,152700.0,True,client
Pepkor Holdings,rand_zar_m,48600.0,True,client
Pepkor Holdings,rand_zar_m,50100.0,True,client
Pepkor Holdings,rand_zar_m,160500.0,True,client
Sanlam,percent,18.7,True,client
Sanlam,percent,5.0,True,portfolio
Sanlam,percent,133.5,True,client
Sanlam,percent,0.3,True,client
Sanlam,percent,18.7,True,client
Sanlam,rand_zar_m,83700.0,True,client
Sanlam,rand_zar_m,102900.0,True,client
Sanlam,rand_zar_m,2660.0,True,client
Sanlam,rand_zar_m,2000.0,True,client
Clicks Group,percent,0.2,True,client
Clicks Group,percent,0.3,True,client
Clicks Group,percent,1.2,True,client
Clicks Group,percent,5.0,True,portfolio
Clicks Group,rand_zar_m,87700.0,True,client
Clicks Group,rand_zar_m,87900.0,True,client
Clicks Group,rand_zar_m,21800.0,True,client
Clicks Group,rand_zar_m,21900.0,True,client
Clicks Group,rand_zar_m,108500.0,True,client
Aspen Pharmacare,percent,5.3,True,client
Aspen Pharmacare,percent,1.4,True,client
Aspen Pharmacare,percent,5.1,True,client
Aspen Pharmacare,rand_zar_m,64000.0,True,client
Aspen Pharmacare,rand_zar_m,67600.0,True,client
Aspen Pharmacare,rand_zar_m,38800.0,True,client
Aspen Pharmacare,rand_zar_m,39300.0,True,client
Aspen Pharmacare,rand_zar_m,101400.0,True,client
OUTsurance Group,percent,0.9,True,client
OUTsurance Group,percent,491.0,True,client
OUTsurance Group,percent,4.2,True,client
OUTsurance Group,rand_zar_m,36800.0,True,client
OUTsurance Group,rand_zar_m,37100.0,True,client
OUTsurance Group,rand_zar_m,16.0,True,client
OUTsurance Group,rand_zar_m,78.6,True,client
NEPI Rockcastle,percent,0.4,True,client
NEPI Rockcastle,percent,0.1,True,client
NEPI Rockcastle,percent,2.1,True,client
NEPI Rockcastle,rand_zar_m,11700.0,True,client
NEPI Rockcastle,rand_zar_m,5500.0,True,client
NEPI Rockcastle,rand_zar_m,48.0,True,client
NEPI Rockcastle,rand_zar_m,4.0,True,client
NEPI Rockcastle,rand_zar_m,16900.0,True,client
Shaftesbury Capital plc,percent,0.0,True,client
Shaftesbury Capital plc,percent,0.3,True,client
Shaftesbury Capital plc,percent,0.2,True,client
Shaftesbury Capital plc,percent,1.3,True,client
Shaftesbury Capital plc,percent,100.0,False,none
Shaftesbury Capital plc,rand_zar_m,4700.0,True,client
Shaftesbury Capital plc,rand_zar_m,5500.0,True,client
Shaftesbury Capital plc,rand_zar_m,12.0,True,client
Shaftesbury Capital plc,rand_zar_m,8.0,True,client
Shaftesbury Capital plc,rand_zar_m,10200.0,True,client
The Bidvest Group,percent,666.0,True,client
The Bidvest Group,percent,27.9,True,client
The Bidvest Group,rand_zar_m,1460.0,True,client
The Bidvest Group,rand_zar_m,219.8,True,client
