canonical,target_year,source_folder,chosen_file,flag,excerpt_file,excerpt_pages
valterra,2024,hackathon-finreports-2024/valterra,annual-financial-statements-2024-1.pdf,,valterra_2024_excerpt.txt,56
vodacom,2024,hackathon-finreports-2024/vodacom,results-booklet.pdf,no AFS-labeled file found; used newest annual/integrated report,vodacom_2024_excerpt.txt,32
angloamerican,2025,hackathon-finreports-2025/angloamerican,AA annual-report-full-2025.pdf,no AFS-labeled file found; used newest annual/integrated report; Folder contains a file referencing 'AGA' (AngloGold Ashanti's ticker) - verify this isn't misfiled.,angloamerican_2025_excerpt.txt,55
angloashanti,2025,hackathon-finreports-2025/angloashanti,ERDEC25.pdf,no AFS-labeled file found; used newest annual/integrated report,angloashanti_2025_excerpt.txt,37
aspen,2025,hackathon-finreports-2025/aspen,Aspen_FY2025_AFS.pdf,,aspen_2025_excerpt.txt,66
bhp,2025,hackathon-finreports-2025/bhp,5. 2025 Annual Report.pdf,no AFS-labeled file found; used newest annual/integrated report,bhp_2025_excerpt.txt,37
bid,2025,hackathon-finreports-2025/bid,Bidcorp-2025-AFS.pdf,,bid_2025_excerpt.txt,47
bidvest group,2025,hackathon-finreports-2025/bidvest group,Bidvest_FY2025_Company AFS.pdf,Bidvest FY2025 AFS available is Company-level only; Group FY2025 AFS not in folder (only Group FY2024 present).,bidvest_group_2025_excerpt.txt,12
clicks,2025,hackathon-finreports-2025/clicks,Clicks_FY2025_AFS.pdf,,clicks_2025_excerpt.txt,39
glencore,2025,hackathon-finreports-2025/glencore,Glencore 2025 Annual Report.pdf,no AFS-labeled file found; used newest annual/integrated report,glencore_2025_excerpt.txt,79
gold fields,2025,hackathon-finreports-2025/gold fields,AFR2025.pdf,,gold_fields_2025_excerpt.txt,79
mtn,2025,hackathon-finreports-2025/mtn,MTN FY25 Integrated Report low res (28042026).pdf,no AFS-labeled file found; used newest annual/integrated report,mtn_2025_excerpt.txt,5
naspe,2025,hackathon-finreports-2025/naspe,Naspers_FY2025_Annual Financial Statements.pdf,,naspe_2025_excerpt.txt,105
nepi,2025,hackathon-finreports-2025/nepi,NEPI Rockcastle N.V. Annual Report 2025_18 Mar_reduced.pdf,no AFS-labeled file found; used newest annual/integrated report,nepi_2025_excerpt.txt,45
out,2025,hackathon-finreports-2025/outsurance,ogl-annual-financial-statements-2025.pdf,,out_2025_excerpt.txt,56
pepkor,2025,hackathon-finreports-2025/pepkor,Pepkor annual financial statements 2025.pdf,,pepkor_2025_excerpt.txt,64
prosus,2025,hackathon-finreports-2025/prosus,Prosus_FY2025_Annual Report.pdf,no AFS-labeled file found; used newest annual/integrated report,prosus_2025_excerpt.txt,73
sanlam,2025,hackathon-finreports-2025/sanlam,Sanlam-AFS-2025-spreads.pdf,Latest AFS-labeled file is 2023; FY2025 only available as Integrated Report / unclear 'FY24.pdf'.,sanlam_2025_excerpt.txt,106
shaftesbury,2025,hackathon-finreports-2025/shaftesbury,Shaftesbury Capital Annual Report 2025.pdf,no AFS-labeled file found; used newest annual/integrated report,shaftesbury_2025_excerpt.txt,29
shoprite,2025,hackathon-finreports-2025/shoprite,shp-afs-2025.pdf,,shoprite_2025_excerpt.txt,71
valterra,2025,hackathon-finreports-2025/valterra,AFS (1).pdf,,valterra_2025_excerpt.txt,58
vodacom,2025,hackathon-finreports-2025/vodacom,vodacom-consolidated-and-separate-financial-statements-2025.pdf,no AFS-labeled file found; used newest annual/integrated report,vodacom_2025_excerpt.txt,77
naspe,2026,hackathon-finreports-2026/naspers,naspers-annual-financial-statements-2026.pdf,,naspe_2026_excerpt.txt,111
prosus,2026,hackathon-finreports-2026/prosus,prosus-financial-results-fy26-booklet.pdf,no AFS-labeled file found; used newest annual/integrated report,prosus_2026_excerpt.txt,11
vodacom,2026,hackathon-finreports-2026/vodacom,results-booklet-AFY.pdf,no AFS-labeled file found; used newest annual/integrated report,vodacom_2026_excerpt.txt,20
